Cluster,Id,X,Y,Speed,Angle,Lane_position,Leader
3,car1.0,-73.11480936437863,-64.68679018644751,9.159875317856624,297.5316812535276,62.06964015255767,No
3,car1.12,-88.04737973953624,31.5646570124496,9.159875317856624,358.34267486396186,87.04114077679071,Yes
3,car1.5,-85.81259558134268,-45.67304619410222,9.159875317856624,358.34267486396186,9.77104939403318,No
1,car1.1,121.36969622314078,-92.83763003661768,10.310521500907576,269.54379324670225,46.17282179080866,No
1,car1.13,-62.231020755485275,-66.75321516636247,10.310521500907576,297.5422458024419,51.46239368693236,Yes
1,car1.2,21.58241739148818,-93.63218406745436,10.310521500907576,269.5437932467025,145.9655427733574,No
1,car1.4,-8.116234331737445,-93.86865893392418,10.310521500907576,269.5437932467025,175.66581418744923,No
1,car1.9,44.34660711320507,-90.25076545383249,10.310521500907576,269.54379324670225,123.18011045839654,No
0,car1.10,226.89,-17.876335447219866,3.574671388508908,180.0,64.69633544721987,No
0,car1.6,169.72556193117157,-87.82170887114918,3.574671388508908,228.05979167797588,71.83647938947274,Yes
0,car1.7,223.69,-3.861983158275443,3.574671388508908,180.0,50.68198315827544,No
0,car1.8,216.94816553389612,58.074815797099056,3.574671388508908,132.63005613385548,71.87356986556011,No
2,car1.11,-20.06185914213323,100.7682552168972,5.813137084398724,49.404452301477015,87.65139740578611,No
2,car1.14,-2.4622994669116016,105.01163464522844,5.813137084398724,90.06724459034822,7.128118800826975,Yes
2,car1.3,-83.55237240867405,42.146366107695165,5.813137084398724,18.5966184099329,1.3006213421900197,No
